Fuel Type Code,Station Name,City,State,ZIP,Status Code,Latitude,Longitude,Country,Georeference
ELEC,Champion Parking 60 E 8th - Tesla Destination,New York,NY,10003,E,40.730487,-73.993569,US,POINT (-73.993569 40.730487)
ELEC,Parkit 310 E 11th Street - Tesla Destination,New York,NY,10003,E,40.730017,-73.985512,US,POINT (-73.985512 40.730017)
ELEC,W 75th Parking Garage - Tesla Supercharger,New York,NY,10023,E,40.780976,-73.980414,US,POINT (-73.980414 40.780976)
ELEC,200 East End Ave,New York,NY,10128,E,40.77729,-73.94355,US,POINT (-73.94355 40.77729)
ELEC,Central Parking 200 Chambers - Tesla Destination,New York,NY,10007,E,40.716256,-74.012543,US,POINT (-74.012543 40.716256)
ELEC,Icon 9-11 Park Ave - Tesla Destination,New York,NY,10016,E,40.747299,-73.981039,US,POINT (-73.981039 40.747299)
ELEC,GGMC Parking 415 E 79th - Tesla Destination,New York,NY,10075,E,40.771918,-73.951679,US,POINT (-73.951679 40.771918)
ELEC,GGMC Ruppert Car Park - Tesla Destination,New York,NY,10128,E,40.78098,-73.951145,US,POINT (-73.951145 40.78098)
ELEC,Icon Parking 330 E 39th Street - Tesla Destination,New York,NY,10016,E,40.746851,-73.972901,US,POINT (-73.972901 40.746851)
ELEC,MPG 543 W 110th Street Garage - Tesla Destination,New York,NY,10025,E,40.803963,-73.966032,US,POINT (-73.966032 40.803963)
ELEC,MP 102 LLC MP 102 LLC,New York,NY,10029,E,40.791267,-73.952039,US,POINT (-73.952039 40.791267)
ELEC,GGMC Yorkville Car Park - Tesla Destination,New York,NY,10128,E,40.782212,-73.95023,US,POINT (-73.95023 40.782212)
ELEC,Glenwood Management - Paramount Garage,New York,NY,10016,E,40.74793,-73.974556,US,POINT (-73.974556 40.74793)
ELEC,Parkit 403 Lafayette St. - Tesla Destination,New York,NY,10003,E,40.728287,-73.992746,US,POINT (-73.992746 40.728287)
ELEC,Icon Parking 70 Gold Street - Tesla Destination,New York,NY,10038,E,40.710019,-74.004385,US,POINT (-74.004385 40.710019)
ELEC,TATABROOKFIELD #6,New York,NY,10044,E,40.75516,-73.955605,US,POINT (-73.955605 40.75516)
ELEC,Icon Parking - 111 Eighth Avenue,New York,NY,10011,E,40.741421,-74.003186,US,POINT (-74.003186 40.741421)
ELEC,Icon Parking 515 E 72nd Street - Tesla Destination,New York,NY,10021,E,40.766545,-73.95292,US,POINT (-73.95292 40.766545)
ELEC,250 Vesey,New York,NY,10281,E,40.714113,-74.01581,US,POINT (-74.01581 40.714113)
ELEC,MPG 121 Reade Street - Tesla Destination,New York,NY,10013,E,40.716268,-74.009491,US,POINT (-74.009491 40.716268)
ELEC,TATABROOKFIELD #7,New York,NY,10044,E,40.755314,-73.955605,US,POINT (-73.955605 40.755314)
ELEC,Champion Parking E 16th Street - Tesla Destination,New York,NY,10003,E,40.735736,-73.988745,US,POINT (-73.988745 40.735736)
ELEC,420 E. 53rd St.,New York,NY,10022,E,40.75527,-73.96386,US,POINT (-73.96386 40.75527)
ELEC,City Parking Garment One Garage - Tesla Destination,New York,NY,10016,E,40.746022,-73.978693,US,POINT (-73.978693 40.746022)
ELEC,Rapidpark 340 94th Street - Tesla Destination,New York,NY,10128,E,40.782091,-73.946029,US,POINT (-73.946029 40.782091)
ELEC,Standard Parking 270 Greenwich - Tesla Destination,New York,NY,10007,E,40.715071,-74.012203,US,POINT (-74.012203 40.715071)
ELEC,Quik Park 32 Debrosses LLC - Tesla Destination,New York,NY,10013,E,40.723617,-74.010915,US,POINT (-74.010915 40.723617)
ELEC,Strathmore,New York,NY,10028,E,40.775203,-73.950295,US,POINT (-73.950295 40.775203)
ELEC,GGMC Parking - 550 W 25th - Tesla Destination,New York,NY,10001,E,40.74979,-74.005335,US,POINT (-74.005335 40.74979)
ELEC,Icon Parking 5 E 22nd Street - Tesla Destination,New York,NY,10010,E,40.740458,-73.989037,US,POINT (-73.989037 40.740458)
ELEC,Icon Parking 30 W 63rd St - Tesla Destination,New York,NY,10023,E,40.770772,-73.981795,US,POINT (-73.981795 40.770772)
ELEC,STATION 4TH FL MOTORGATE #2,New York,NY,10044,E,40.764208,-73.947198,US,POINT (-73.947198 40.764208)
ELEC,Sutton Place North Garage - Tesla Destination,New York,NY,10022,E,40.75552,-73.962734,US,POINT (-73.962734 40.75552)
ELEC,Glenwood Belmont Parking - Tesla Destination,New York,NY,10021,E,40.760098,-73.988828,US,POINT (-73.988828 40.760098)
ELEC,STATION 4TH FL MOTORGATE #1,New York,NY,10044,E,40.764429,-73.946793,US,POINT (-73.946793 40.764429)
ELEC,Icon Parking 990 Ave of the Americas - Tesla Destination,New York,NY,10018,E,40.750844,-73.986188,US,POINT (-73.986188 40.750844)
ELEC,44 W 62nd St.,New York,NY,10023,E,40.7708,-73.98323,US,POINT (-73.98323 40.7708)
ELEC,182 E 73rd St,New York,NY,10021,E,40.77049,-73.96077,US,POINT (-73.96077 40.77049)
ELEC,Icon Parking E 88th Street - Tesla Destination,New York,NY,10128,E,40.776461,-73.944363,US,POINT (-73.944363 40.776461)
ELEC,Carnegie Hill,New York,NY,10128,E,40.784865,-73.948526,US,POINT (-73.948526 40.784865)
ELEC,Rapidpark 99 Park Ave - Tesla Destination,New York,NY,10016,E,40.750013,-73.978525,US,POINT (-73.978525 40.750013)
ELEC,170 E End Ave,New York,NY,10128,E,40.775792,-73.944015,US,POINT (-73.944015 40.775792)
ELEC,iPark NYC 400 E 35th NYU - Tesla Destination,New York,NY,10016,E,40.743971,-73.971882,US,POINT (-73.971882 40.743971)
ELEC,TATABROOKFIELD GATEWAY #1,New York,NY,10044,E,40.755024,-73.955605,US,POINT (-73.955605 40.755024)
ELEC,Gotham Parking,New York,NY,10036,E,40.762307,-73.996615,US,POINT (-73.996615 40.762307)
ELEC,Champion Parking 230 W 55th Street - Tesla Destination,New York,NY,10019,E,40.764748,-73.982676,US,POINT (-73.982676 40.764748)
ELEC,iPark - 67th Street,New York,NY,10065,E,40.769134,-73.968707,US,POINT (-73.968707 40.769134)
ELEC,imPark 611 E 83rd Street - Tesla Destination,New York,NY,10028,E,40.772681,-73.945488,US,POINT (-73.945488 40.772681)
ELEC,Park N Go - E 121 St - Tesla Destination,New York,NY,10035,E,40.800793,-73.9371,US,POINT (-73.9371 40.800793)
ELEC,Superior Ink,New York,NY,10014,E,40.737537,-74.00983,US,POINT (-74.00983 40.737537)
ELEC,ABELENORTHSIDE STATION 1,New York,NY,12065,E,42.864644,-73.770347,US,POINT (-73.770347 42.864644)
ELEC,Quik Park 82nd Street LLC - Tesla Destination,New York,NY,10028,E,40.774511,-73.952039,US,POINT (-73.952039 40.774511)
CNG,Con Edison - W 29th St Service Center,New York,NY,10001,E,40.752903,-74.005831,US,POINT (-74.005831 40.752903)
ELEC,iPark NYU 377 E 33rd Street - Tesla Destination,New York,NY,10016,E,40.743405,-73.974735,US,POINT (-73.974735 40.743405)
ELEC,Roger Smith Hotel - Tesla Destination,New York,NY,10017,E,40.754709,-73.973391,US,POINT (-73.973391 40.754709)
ELEC,iPark 112 E 65th Street - Tesla Destination,New York,NY,10065,E,40.766495,-73.9667,US,POINT (-73.9667 40.766495)
ELEC,Parkit 575 Washington - Tesla Destination,New York,NY,10014,E,40.729364,-74.008513,US,POINT (-74.008513 40.729364)
ELEC,Icon Mercury Parking,New York,NY,10019,E,40.763244,-73.988647,US,POINT (-73.988647 40.763244)
ELEC,115 Fort Washington Ave,New York,NY,10032,E,40.839756,-73.943345,US,POINT (-73.943345 40.839756)
ELEC,AAA NORTHEAST STATION1A,New York,NY,10034,E,40.870847,-73.912628,US,POINT (-73.912628 40.870847)
ELEC,337 E 64th St.,New York,NY,10065,E,40.76327,-73.96024,US,POINT (-73.96024 40.76327)
ELEC,City Parking E 61st Street - Tesla Destination,New York,NY,10065,E,40.760289,-73.959501,US,POINT (-73.959501 40.760289)
ELEC,110 East End Ave,New York,NY,10028,E,40.77447,-73.94599,US,POINT (-73.94599 40.77447)
ELEC,GGMC Parking Stewart House Garage - Tesla Destination,New York,NY,10003,E,40.731257,-73.992101,US,POINT (-73.992101 40.731257)
ELEC,Icon Parking OMNI - Tesla Destination,New York,NY,10023,E,40.77592,-73.98313,US,POINT (-73.98313 40.77592)
ELEC,SP+ - 200 Chambers Street Garage,New York,NY,10007,E,40.7163,-74.01258,US,POINT (-74.01258 40.7163)
ELEC,iPark NYC E 77th Street - Tesla Destination,New York,NY,10014,E,40.773415,-73.959234,US,POINT (-73.959234 40.773415)
ELEC,231 E 94th Street,New York,NY,10128,E,40.78351,-73.94888,US,POINT (-73.94888 40.78351)
ELEC,City Parking RL Mercer Street - Tesla Destination,New York,NY,10025,E,40.721437,-74.001238,US,POINT (-74.001238 40.721437)
ELEC,Quik Park Hudson 180 LLC - Tesla Destination,New York,NY,10069,E,40.778412,-73.988294,US,POINT (-73.988294 40.778412)
ELEC,20RTAC GARAGE BOTTOM,New York,NY,10282,E,40.716131,-74.015548,US,POINT (-74.015548 40.716131)
ELEC,10 East 30th St,New York,NY,10016,E,40.74538,-73.98571,US,POINT (-73.98571 40.74538)
ELEC,Quik Park Little West LLC - Tesla Destination,New York,NY,10280,E,40.70663,-74.016916,US,POINT (-74.016916 40.70663)
ELEC,Rapidpark 204 W 101st Street - Tesla Destination,New York,NY,10025,E,40.797359,-73.968718,US,POINT (-73.968718 40.797359)
ELEC,Rapidpark 9-11 W 100th Street - Tesla Destination,New York,NY,10024,E,40.794519,-73.963445,US,POINT (-73.963445 40.794519)
ELEC,Champion Parking 60 East End Avenue - Tesla Destination,New York,NY,10028,E,40.772712,-73.947045,US,POINT (-73.947045 40.772712)
ELEC,Icon Parking 16 W 16th Street - Tesla Destination,New York,NY,10011,E,40.737891,-73.994058,US,POINT (-73.994058 40.737891)
ELEC,Icon Parking 12 East 9th Street - Tesla Destination,New York,NY,10003,E,40.732519,-73.995135,US,POINT (-73.995135 40.732519)
ELEC,171 E 84th St,New York,NY,10028,E,40.77798,-73.95555,US,POINT (-73.95555 40.77798)
ELEC,Beekman Parking,New York,NY,10022,E,40.754022,-73.965166,US,POINT (-73.965166 40.754022)
ELEC,iPark 650 Parking Corp - Tesla Destination,New York,NY,10065,E,40.768144,-73.966736,US,POINT (-73.966736 40.768144)
ELEC,Icon 80 Riverside Blvd - Tesla Destination,New York,NY,10069,E,40.775374,-73.989687,US,POINT (-73.989687 40.775374)
ELEC,iPark 530 E 80th Street - Tesla Destination,New York,NY,10075,E,40.771382,-73.948344,US,POINT (-73.948344 40.771382)
ELEC,Rapidpark 148 E 33rd Street - Tesla Destination,New York,NY,10016,E,40.745432,-73.97956,US,POINT (-73.97956 40.745432)
ELEC,Icon Parking 101 West End Ave - Tesla Destination,New York,NY,10023,E,40.775065,-73.988572,US,POINT (-73.988572 40.775065)
